channel_type,country,date,e_m_earnings,e_y_earnings,grade,sub_change,sub_last30,subs,uploads,video_view,view_change,view_last30,youtuber
Comedy,IN,"May 6th, 2015",$4.3K - $69K,$51.8K - $828.3K,B+,31,236823,5147296,122,353654664,25,17256210,Harsh Beniwal
Comedy,US,"Aug 18th, 2012",$5.4K - $86.8K,$65.1K - $1M,B+,26,90960,7226474,255,1051458273,25,21689700,iDubbbzTV
Comedy,BR,"Oct 2nd, 2011",$6.4K - $102.2K,$76.7K - $1.2M,B+,-34,92809,3355938,334,512450797,-16,25554990,Toda Meiga
Comedy,US,"Aug 10th, 2011",$7.1K - $114K,$85.5K - $1.4M,B+,-22,57681,6273901,750,1416735436,13,28492350,DOPE or NOPE
Comedy,IN,"Aug 16th, 2016",$5K - $79.8K,$59.9K - $958K,B+,16,299861,853904,45,51554218,37,19959180,Karikku
Comedy,US,"Oct 9th, 2007",$4.6K - $74K,$55.5K - $887.5K,B+,2,128742,169337,224,44518209,332,18490050,Ruby Blvd Entertainment
Comedy,IN,"Sep 26th, 2013",$7.1K - $114.1K,$85.6K - $1.4M,B+,-51,88911,2369795,703,780065407,-38,28516770,SoSorry
Comedy,BR,"Oct 31st, 2012",$7.9K - $126.3K,$94.7K - $1.5M,B+,29,297627,5813801,619,608491171,39,31577400,Muca Muriçoca
Comedy,US,"Dec 4th, 2008",$6K - $95.3K,$71.5K - $1.1M,B+,67,16726,2060581,910,1615052838,43,23834430,Studio C
Comedy,EG,"Jan 17th, 2015",$5.2K - $83.1K,$62.3K - $997.3K,B+,71,44786,1044893,2325,798722176,96,20776800,ANP Egypt
Comedy,MX,"May 16th, 2006",$7.1K - $113.2K,$84.9K - $1.4M,B+,19,70747,2742551,657,1578881935,21,28291560,El Chavo del 8
Comedy,BR,"Aug 27th, 2014",$5K - $80.4K,$60.3K - $964.4K,B+,372,110420,601050,319,92831612,379,20091510,FelipePires
Comedy,BD,"Oct 26th, 2011",$6.4K - $102K,$76.5K - $1.2M,B+,116,117401,954621,478,180840806,79,25500330,SM NEWS
Comedy,US,"Dec 18th, 2009",$4.6K - $73.6K,$55.2K - $882.6K,B+,275,106957,3081118,248,361129788,166,18387690,LOL Network
Comedy,US,"Oct 17th, 2013",$7.7K - $123.3K,$92.5K - $1.5M,B+,243,81328,2245284,567,833624206,431,30834000,BGL
Comedy,CA,"Aug 16th, 2016",$6.5K - $104.5K,$78.4K - $1.3M,B+,100,205182,2707195,142,256601847,122,26126520,JustDustin
Comedy,BR,"Sep 16th, 2011",$167 - $2.7K,$2K - $32.2K,B+,-69,2517,436145,414,69547424,-115,669960,Pegadinhas.Silas
Comedy,KR,"Jul 5th, 2016",$7.6K - $121.6K,$91.2K - $1.5M,B+,,0,2028,379,181181648,-5,30411000,짤킹
Comedy,US,"Aug 12th, 2010",$7.7K - $123.7K,$92.8K - $1.5M,B+,13,58380,1395390,4331,661793432,20,30930900,America's Funniest Home Videos
Comedy,IN,"Jan 17th, 2013",$8K - $127.6K,$95.7K - $1.5M,B+,4,131152,2215158,69,580747658,9,31890000,Sunny Kumar Rana
Comedy,BR,"Jan 16th, 2012",$8.3K - $133.1K,$99.8K - $1.6M,B+,8,221038,7162718,1131,986577154,11,33273300,T3ddy
Comedy,,"Jul 27th, 2016",$6.1K - $97.1K,$72.8K - $1.2M,B+,54,58877,1062030,402,350390210,76,24275520,مشاهير الانستقرام…
Comedy,BR,"Oct 4th, 2013",$0 - $0,$0 - $0,B+,4,499,462524,92,14738461,-4,-4469490,Rayane Costa
Comedy,FR,"May 18th, 2012",$6K - $96K,$72K - $1.2M,B+,96,37736,507320,1104,294261247,99,23987700,Juste pour rire les gags
Comedy,AQ,"Mar 18th, 2013",$10.2K - $162.8K,$122.1K - $2M,B+,73,32907,2488896,322,887178316,57,40709400,桐崎栄二/きりざきえいじ
Comedy,DE,"Dec 9th, 2013",$5.5K - $88.6K,$66.5K - $1.1M,B+,149,64886,383230,97,122462772,154,22157670,Mr Bean Deutschland
Comedy,KR,"Jun 10th, 2015",$7.4K - $118K,$88.5K - $1.4M,B+,16,46083,772830,340,320382574,38,29498970,웃소 Wootso
Comedy,US,"Feb 16th, 2010",$6.3K - $100.5K,$75.4K - $1.2M,B+,-26,81104,19038344,434,2977884387,-9,0,JennaMarbles
Comedy,GB,"Sep 21st, 2011",$4.8K - $77K,$57.7K - $923.8K,B+,72,163022,891832,67,82199779,81,19245480,Kristen Hanby
Comedy,IQ,"Feb 21st, 2013",$7.3K - $117.3K,$87.9K - $1.4M,B+,54,129784,2286550,259,359520309,102,29314320,AM F للكوميديا والتحشيش…
Comedy,IN,"Dec 24th, 2016",$6.6K - $105.3K,$79K - $1.3M,B+,34,162166,2255357,83,271292658,-48,26317590,DSS Production
Comedy,NG,"Jun 29th, 2013",$7.3K - $116.6K,$87.4K - $1.4M,B+,-2,149862,3466607,206,708045679,6,29147100,MarkAngelComedy
Comedy,VN,"Mar 18th, 2015",$6.9K - $110K,$82.5K - $1.3M,B+,-3,37418,126453,35,86322883,426,27502710,7UP Vietnam
Comedy,US,"Aug 18th, 2011",$12.2K - $194.8K,$146.1K - $2.3M,B+,46,295826,7666422,459,1116692291,47,48708900,dangmattsmith
Comedy,US,"Mar 6th, 2015",$2.9K - $45.8K,$34.4K - $550.2K,B+,39,31425,472729,27,132039353,236,11160102,BROMAS Y TOPS
Comedy,US,"Jul 23rd, 2015",$7K - $112.3K,$84.2K - $1.3M,B+,146,73596,307908,67,94241078,154,28066200,Great Vines
